datetime,NetPosUsd,NetUsdPnL,AbsVolume,Mid
2014.02.11T14:00:00.000,-593785.875,1034.489979,107372.72,1.365025
2014.02.11T15:00:00.000,-664689.255,35.14286931,81392.35,1.364865
2014.02.11T16:00:00.000,-9780324.24,-7469.775001,20960875.41,1.367495
2014.02.11T17:00:00.000,-199335.99,5475.69718,9487932.77,1.365315
2014.02.11T18:00:00.000,-207465.56,62.05295063,3792.35,1.364905
2014.02.11T19:00:00.000,-196421.04,131.9995387,26106.22,1.364035
2014.02.11T20:00:00.000,-193658.89,34.47013503,7486.33,1.363795
2014.02.11T21:00:00.000,-193683.03,-24.14,7235.2,1.363965
2014.02.11T22:00:00.000,-188205.09,22.79711709,1354.38,1.363805
2014.02.11T23:00:00.000,-188199.57,5.52,1702.56,1.363765
2014.02.12T00:00:00.000,-180005.1,11.67329647,4351.29,1.363675
2014.02.12T01:00:00.000,-179987.94,17.16,5534.1,1.363545
2014.02.12T02:00:00.000,-182704.31,10.47305575,10229.05,1.363465
2014.02.12T03:00:00.000,-182626.59,77.72,24696.4,1.362885
2014.02.12T04:00:00.000,-166280.51,-11.05377733,19336.06,1.362955
2014.02.12T05:00:00.000,-166275.63,4.88,1703.68,1.362915
2014.02.12T06:00:00.000,-166330.53,-54.9,19166.4,1.363365
2014.02.12T07:00:00.000,-166456.19,-125.66,43869.76,1.364395
2014.02.12T08:00:00.000,-199022.09,169.0393642,4864.77,1.363165
2014.02.12T09:00:00.000,-121353.725,-44.4345861,166699.515,1.363525
2014.02.12T10:00:00.000,-156913.475,-92.36062673,78385.32,1.364465
2014.02.12T11:00:00.000,-181388.725,80.57599986,65365.38,1.363825
2014.02.12T12:00:00.000,-171065.79,789.9413964,254396.905,1.357665
2014.02.12T13:00:00.000,-164275.045,1.482626864,11361.845,1.357645
2014.02.12T14:00:00.000,-175154.265,-9.506701489,693039.19,1.357785
2014.02.12T15:00:00.000,44796.015,127.0463148,213742.65,1.357455
2014.02.12T16:00:00.000,89681.13,70.79179162,125348.295,1.358805
2014.02.12T17:00:00.000,202521.545,30.43939057,146556.475,1.359205
2014.02.12T18:00:00.000,222794.82,-102.7963348,1160836.385,1.358505
2014.02.12T19:00:00.000,221581.385,145.7364953,46448.255,1.359395
2014.02.12T20:00:00.000,224298.525,-1.238623437,2273.2,1.359385
2014.02.12T21:00:00.000,214768.61,-14.20810102,43565.015,1.359295
2014.02.12T22:00:00.000,220209.03,2.889103285,6329.14,1.359315
2014.02.12T23:00:00.000,232477.065,32.88909937,23874.265,1.359515
2014.02.13T00:00:00.000,235069.805,-125.3859923,29847,1.358785
2014.02.13T01:00:00.000,354896.055,223.8643739,307065.14,1.359755
2014.02.13T02:00:00.000,356473.27,217.1960853,46712.245,1.360585
2014.02.13T03:00:00.000,412529.955,253.7296989,107043.565,1.361485
2014.02.13T04:00:00.000,412563.285,33.33,4934.71,1.361595
2014.02.13T05:00:00.000,412466.325,-96.96,14355.52,1.361275
2014.02.13T06:00:00.000,419352.78,80.74162949,18471.535,1.361535
2014.02.13T07:00:00.000,426404.595,239.7579811,44531.685,1.362315
2014.02.13T08:00:00.000,386886.1,4.448205457,48609.255,1.362275
2014.02.13T09:00:00.000,636378.565,120.0041073,270960.775,1.362695
2014.02.13T10:00:00.000,1040534.325,2632.851538,616252.7,1.367325
2014.02.13T11:00:00.000,1034519.985,-545.7359459,27216.54,1.366605
2014.02.13T12:00:00.000,1015030.875,-355.7145361,68373.69,1.366125
2014.02.13T13:00:00.000,985488.035,516.9796493,147092.87,1.366835
2014.02.13T14:00:00.000,1635898.005,-538.6028383,782189.38,1.366665
2014.02.13T15:00:00.000,1750838.775,86.59183296,119882.85,1.366775
2014.02.13T16:00:00.000,1791461.835,-390.3666639,54923.64,1.366485
2014.02.13T17:00:00.000,1194622.53,402.5846521,613964.505,1.366845
2014.02.13T18:00:00.000,1795035.125,336.0683444,613242.755,1.367125
2014.02.13T19:00:00.000,1781898.105,534.2720052,33000.7,1.367535
2014.02.13T20:00:00.000,367845.395,-244.7037501,1410176.87,1.367455
2014.02.13T21:00:00.000,368036.385,191.4215884,61570.39,1.368165
2014.02.13T22:00:00.000,456906.99,-46.69400069,80243.205,1.367985
2014.02.13T23:00:00.000,374800.49,-29.37820082,77246.7,1.367885
2014.02.14T00:00:00.000,374729.25,-71.24,12564.24,1.367625
2014.02.14T01:00:00.000,374814.19,84.94,14980.44,1.367935
2014.02.14T02:00:00.000,374847.07,32.88,5798.88,1.368055
2014.02.14T03:00:00.000,210651.21,-60.78746882,154962.24,1.367865
2014.02.14T04:00:00.000,13889199.67,-1790.244938,13678065.56,1.367855
